1608682975025[ 1024, 1024 ]
Genration, Average Fitness, Best Fitness, Best Individual.
0, -3.3091441256701354E7, -0.7384696821924234, (abs(abs(sig(sig(abs(sig(((X2  - -1.9375839614733383) * sig(X2 )))))))) * (sig((abs((abs(((X1  + -1.422397043727488) ^ (-1.3857307971422683 * X2 ))) / abs(abs((X2  - -2.821624859508601))))) + ((cos((sig(-1.4026234423427395) - tan(X1 ))) - ((sig(-4.529218663885274) - (X1  / X1 )) / sin((0.14608335177087284 * X1 )))) ^ ((((X2  ^ 0.004450380716832569) + abs(X2 )) + cos(sig(X1 ))) - sig(((X2  ^ -4.423935543863101) - (-2.5120693356655996 * X1 ))))))) ^ (tan((((cos(sig(X2 )) - (abs(X2 ) - (2.3500242289762063 * -1.3704008871625262))) / (((X1  ^ X2 ) ^ sin(X1 )) / abs(sin(-3.6990072395118947)))) - (tan((sig(-0.4375782163797943) ^ sin(X1 ))) / (((X2  - X2 ) - (X2  - 4.402484316145225)) + (sig(X2 ) + (X1  / X1 )))))) ^ ((((((X2  / -0.8967762655985254) - sig(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / (((cos(-1.4729350110175918) ^ (X2  ^ X1 )) / abs((2.4071482335573835 / X1 ))) * (((X2  ^ 0.6975679891926987) / tan(X1 )) * (abs(X2 ) + abs(4.75729240481288))))) * (sig(tan(sig((-4.423935543863101 ^ -1.3704008871625262)))) - cos(sig(sig(sin(-4.628267526077981)))))))))
1, -1.7586403101774581, -0.7384696821924234, (abs(abs(sig(sig(abs(sig(((X2  - -1.9375839614733383) * sig(X2 )))))))) * (sig((abs((abs(((X1  + -1.422397043727488) ^ (-1.3857307971422683 * X2 ))) / abs(abs((X2  - -2.821624859508601))))) + ((cos((sig(-1.4026234423427395) - tan(X1 ))) - ((sig(-4.529218663885274) - (X1  / X1 )) / sin((0.14608335177087284 * X1 )))) ^ ((((X2  ^ 0.004450380716832569) + abs(X2 )) + cos(sig(X1 ))) - sig(((X2  ^ -4.423935543863101) - (-2.5120693356655996 * X1 ))))))) ^ (tan((((cos(sig(X2 )) - (abs(X2 ) - (2.3500242289762063 * -1.3704008871625262))) / (((X1  ^ X2 ) ^ sin(X1 )) / abs(sin(-3.6990072395118947)))) - (tan((sig(-0.4375782163797943) ^ sin(X1 ))) / (((X2  - X2 ) - (X2  - 4.402484316145225)) + (sig(X2 ) + (X1  / X1 )))))) ^ ((((((X2  / -0.8967762655985254) - sig(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / (((cos(-1.4729350110175918) ^ (X2  ^ X1 )) / abs((2.4071482335573835 / X1 ))) * (((X2  ^ 0.6975679891926987) / tan(X1 )) * (abs(X2 ) + abs(4.75729240481288))))) * (sig(tan(sig((-4.423935543863101 ^ -1.3704008871625262)))) - cos(sig(sig(sin(-4.628267526077981)))))))))
2, -0.8358183133289981, -0.7384696821924234, (abs(abs(sig(sig(abs(sig(((X2  - -1.9375839614733383) * sig(X2 )))))))) * (sig((abs((abs((abs(tan(((X2  + X1 ) ^ abs(tan((sig(abs(cos(4.402484316145225))) ^ (X1  + X2 ))))))) / (abs((sig(X2 ) / sig((-4.423935543863101 ^ -1.3704008871625262)))) * (tan((X2  / X1 )) + ((X2  + X2 ) + (0.5515571317631363 ^ 0.4651815311055172)))))) / abs(abs((X2  - -2.821624859508601))))) + ((cos((sig(-1.4026234423427395) - tan(X1 ))) - ((sig(-4.529218663885274) - (X1  / X1 )) / sin((0.14608335177087284 * X1 )))) ^ ((((X2  ^ 0.004450380716832569) + abs(X2 )) + cos(sig(X1 ))) - sig(((X2  ^ -4.423935543863101) - (-2.5120693356655996 * X1 ))))))) ^ (tan((((cos(sig(X2 )) - (abs(X2 ) - (2.3500242289762063 * -1.3704008871625262))) / (((X1  ^ X2 ) ^ sin(X1 )) / abs(sin(-3.6990072395118947)))) - (tan((sig(-0.4375782163797943) ^ sin(X1 ))) / (((X2  - X2 ) - (X2  - 4.402484316145225)) + (sig(X2 ) + (X1  / X1 )))))) ^ ((((((X2  / -0.8967762655985254) - sig(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / ((-0.08063799476158096 / abs((2.4071482335573835 / X1 ))) * (((X2  ^ 0.6975679891926987) / tan(X1 )) * (sig(X2 ) / abs(X2 ))))) * (sig(tan(sig((-4.423935543863101 ^ -1.3704008871625262)))) - cos(sig(sig(sin(-4.628267526077981)))))))))
3, -0.7603277068092348, -0.7384696821924234, (abs(abs(sig(sig(abs(sig(((X2  - -1.9375839614733383) * sig(X2 )))))))) * (sig((abs((abs(((X1  + -1.422397043727488) ^ (-1.3857307971422683 * X2 ))) / abs(abs((X2  - -2.821624859508601))))) + ((cos((sig(-1.4026234423427395) - tan(X1 ))) - ((sig(-4.529218663885274) - (X1  / X1 )) / sin((0.14608335177087284 * X1 )))) ^ ((((X2  ^ 0.004450380716832569) + abs(X2 )) + cos(sig(X1 ))) - sig(((X2  ^ -4.423935543863101) - (-2.5120693356655996 * X1 ))))))) ^ (tan((((cos(sig(X2 )) - (abs(X2 ) - (2.3500242289762063 * -1.3704008871625262))) / (((X1  ^ X2 ) ^ sin(X1 )) / abs(sin(-3.6990072395118947)))) - sig(X2 ))) ^ ((((((X2  / -0.8967762655985254) - sig(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / ((-0.08063799476158096 / abs((2.4071482335573835 / X1 ))) * (((X2  ^ 0.6975679891926987) / tan(X1 )) * (sig(X2 ) / abs(X2 ))))) * (sig(tan(sig((-4.423935543863101 ^ -1.3704008871625262)))) - cos(sig(sig(sin(-4.628267526077981)))))))))
4, -0.7384696821924236, -0.7384696821924234, sig(abs(cos(abs(cos((abs(cos(abs(X2 ))) + X2 ))))))
5, -0.7619612461561487, -0.7384696821924234, sig(abs(cos(abs(cos((abs(cos(abs(X2 ))) + sig(abs(cos(abs(cos((abs(cos(abs(-4.423935543863101))) + X2 ))))))))))))
6, -0.7563177819692626, -0.7384696821924234, (abs(abs(sig(sig(abs(sig(((X2  - -1.9375839614733383) * sig(X2 )))))))) * (sig((abs((abs(((X1  + -1.422397043727488) ^ (-1.3857307971422683 * X2 ))) / abs(abs((X2  - -2.821624859508601))))) + ((cos((sig(-1.4026234423427395) - tan(X1 ))) - ((sig(-4.529218663885274) - (X1  / abs(abs((X2  - -2.821624859508601))))) / sin((0.14608335177087284 * X1 )))) ^ ((-3.6990072395118947 + cos(sig(X1 ))) - sig(((X2  ^ -4.423935543863101) - (-2.5120693356655996 * 2.5981710641752107))))))) ^ (tan((((cos(sig(X2 )) - (sin(X2 ) - (2.3500242289762063 * -1.3704008871625262))) / (((X1  ^ X2 ) ^ sin(X1 )) / abs(sin(abs(cos((abs(cos(abs(cos(abs(cos((abs(cos(2.3500242289762063)) + X2 ))))))) + tan(sig((-4.423935543863101 ^ -1.3704008871625262)))))))))) - (tan((sig(-0.4375782163797943) ^ sin(X1 ))) / (((X2  - X2 ) - (X2  - 4.402484316145225)) + (sig(X2 ) * (X1  ^ X1 )))))) ^ ((((((X2  / -0.8967762655985254) - sig(X1 )) - (tan(3.0998899953112673) * (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / ((-0.08063799476158096 / abs((2.4071482335573835 / X1 ))) * (((X2  ^ 0.6975679891926987) / tan((((((X2  / -0.7619361705323735) - cos(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / ((-0.08063799476158096 / sig((2.4071482335573835 / X1 ))) * (((X2  ^ 0.6975679891926987) / tan(X1 )) * (sig(X2 ) / abs(X2 ))))))) * (sig(X2 ) / abs(X2 ))))) * X2 ))))
7, -0.7384696821924236, -0.7384696821924234, (abs(abs(sig(sig(abs(sig(((X2  - -1.9375839614733383) * sig(X2 )))))))) * (sig((abs((abs(((X1  + -1.422397043727488) ^ (-1.3857307971422683 * X2 ))) / abs(abs((X2  - -2.821624859508601))))) + ((cos((sig(-1.4026234423427395) - tan(X1 ))) - ((sig(-4.529218663885274) - (tan((sig(-0.4375782163797943) ^ sin(X1 ))) / (((X2  - X2 ) - (X2  - 4.402484316145225)) + (sig(X2 ) + (X1  / X1 ))))) / sin((abs(tan((cos(sig(X2 )) - sig(abs(-4.628267526077981))))) * X1 )))) ^ ((((sig(X2 ) ^ 0.004450380716832569) + abs(X2 )) + cos(sig(X1 ))) - sig(((X2  ^ -4.423935543863101) - (-2.5120693356655996 * X1 ))))))) ^ (tan((((cos(sig(X2 )) - (abs(X2 ) - (2.3500242289762063 * -1.3704008871625262))) / ((sig((-4.423935543863101 ^ -1.3704008871625262)) ^ sin(X1 )) / abs(sin(-3.6990072395118947)))) - (cos((sig(-0.4375782163797943) ^ sin(X1 ))) / (((X2  - X2 ) - (X2  - 4.402484316145225)) + (sig(X2 ) + (X1  / X1 )))))) ^ ((((((X2  / -0.8967762655985254) - sig(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(-1.3857307971422683) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / ((-0.08063799476158096 / abs((2.4071482335573835 / (X1  + X2 )))) * (((X2  ^ 0.6975679891926987) ^ tan((((((X2  / -0.8967762655985254) - sig(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(-3.959000588313856)))) / ((-0.08063799476158096 / abs((2.4071482335573835 / X1 ))) * (((X2  ^ -3.064524253677555) / tan(X1 )) * (sig(X2 ) * X2 )))))) - (sig(X2 ) / abs(X2 ))))) * (sig(tan(sig((-4.423935543863101 ^ -1.3704008871625262)))) - cos(sig(sig(tan(-4.628267526077981)))))))))
8, -0.7384696821924236, -0.7384696821924234, sig((abs(0.5515571317631363) + 3.9125263684019167))
9, -0.7384696821924236, -0.7384696821924234, sig(abs((X2  / (X1  * (tan((3.721702659972239 / X1 )) + ((X2  + ((X2  + cos(abs(cos((abs(abs((sig(X2 ) / abs((X2  + X2 ))))) + X2 ))))) + (0.5515571317631363 ^ (X2  / (abs(sig(abs(-4.628267526077981))) * (tan(sig((X2  + ((sig((-4.423935543863101 ^ -1.3704008871625262)) + cos(abs(cos((abs(cos(abs(tan(((tan((((((X2  / -0.8967762655985254) - sig(X1 )) * (tan(-0.7619361705323735) ^ (-0.7619361705323735 * X1 ))) - ((tan(X2 ) + abs(-2.821624859508601)) * tan(cos(3.197173367875507)))) / ((-0.08063799476158096 / abs((2.4071482335573835 ^ X1 ))) * (X1  * (sig(X2 ) / abs(X2 )))))) + cos(abs(tan(sig((((X1  ^ X2 ) - sin(X1 )) / abs(sin(-3.6990072395118947)))))))) ^ (X1  + X2 )))))) + X2 ))))) + (0.5515571317631363 ^ 0.4651815311055172))))) + sig(X1 ))))))) + (0.5515571317631363 ^ 0.4651815311055172)))))))
