1608580019622[ 256, 256 ]
Genration, Average Fitness, Best Fitness, Best Individual.
0, -6495450.561681846, -0.6292135696192973, ((X1  * tan(1.8349524575797123)) ^ sin(((0.6148620677248395 - sin(X1 )) - X1 )))
1, -1.673270024526706, -0.6185050793483786, ((X1  * tan(1.8349524575797123)) ^ sin(((0.6148620677248395 - ((2.4438382021036817 * sig(tan(X1 ))) ^ sin(((0.6148620677248395 - sin(X1 )) - X1 )))) - X1 )))
2, -1.9055333307890805, -0.48268908284469486, ((2.4438382021036817 * cos(-4.346403760979467)) ^ abs(((0.6148620677248395 - sin(1.8349524575797123)) - X1 )))
3, -0.9085347997451487, -0.48268908284469486, ((2.4438382021036817 * cos(-4.346403760979467)) ^ abs(((0.6148620677248395 - sin(1.8349524575797123)) - X1 )))
4, -0.951518668370702, -0.48268908284469486, ((2.4438382021036817 * cos(-4.346403760979467)) ^ abs(((0.6148620677248395 - sin(1.8349524575797123)) - X1 )))
5, -0.6940462651272611, -0.45365513997147994, ((2.4438382021036817 * cos(-4.346403760979467)) ^ abs((0.6148620677248395 - X1 )))
6, -1446.3249714583244, -0.4400656292911334, ((2.4438382021036817 * cos(-4.346403760979467)) ^ abs((((0.6148620677248395 - sin(2.4438382021036817)) - sin(1.8349524575797123)) - X1 )))
7, -1621.7727819562967, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - 0.6148620677248395) - X1 ))
8, -67.87927624954051, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * cos(-4.346403760979467)) * cos(X1 )) ^ abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) * cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
9, -1.0847081480148635, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * cos(-4.346403760979467)) * cos(X1 )) ^ abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) * cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
10, -1127.8975914000207, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(cos(-4.346403760979467))) - ((0.6148620677248395 - sig(1.8349524575797123)) - X1 )))
11, -0.5860130409648998, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * cos(2.4438382021036817)) * cos(X1 )) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) * cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
12, -987.6962986324281, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * cos(-4.346403760979467)) * ((0.6148620677248395 - sig(1.8349524575797123)) - cos(-4.346403760979467))) ^ abs(((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * cos(-4.346403760979467)) * cos(X1 )) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) * cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 ))) * cos(-4.346403760979467)) * ((0.6148620677248395 - sig(1.8349524575797123)) - cos(-4.346403760979467))) ^ abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) - cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 ))))))) - ((0.6148620677248395 - sig(((2.4438382021036817 * cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
13, -38.157294455847094, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * cos(-4.346403760979467)) * ((0.6148620677248395 - sig(1.8349524575797123)) - cos(-4.346403760979467))) ^ abs(((0.6148620677248395 - 0.6148620677248395) - X1 ))))) - ((0.6148620677248395 - sig(((0.5558240063628519 * 1.8349524575797123) ^ X1 ))) - X1 )))
14, -0.45932035364028806, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((2.4438382021036817 * ((0.6148620677248395 - sig(1.8349524575797123)) - cos(-4.346403760979467))) ^ abs(((0.6148620677248395 - sin(2.4438382021036817)) - sin(1.8349524575797123)))))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) - X1 ) ^ 2.4438382021036817))) - X1 )))
15, -0.4515610947282211, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((-4.346403760979467 ^ abs(((0.6148620677248395 - sig((2.4438382021036817 * cos(-4.346403760979467)))) - cos(-4.346403760979467)))))) - ((0.6148620677248395 - sig((((0.6148620677248395 - (2.4438382021036817 * cos(-4.346403760979467))) * cos(((0.5558240063628519 * 1.8349524575797123) ^ X1 ))) ^ 2.4438382021036817))) - X1 )))
16, -0.4458533660977513, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * 1.8349524575797123) * ((0.6148620677248395 - sig((sig((((0.6148620677248395 - (2.4438382021036817 * cos(-4.346403760979467))) * cos(-4.346403760979467)) ^ 2.4438382021036817)) ^ X1 ))) - ((0.6148620677248395 - sig((cos(-4.346403760979467) ^ X1 ))) - X1 ))) ^ abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))))) - ((0.6148620677248395 - sig((cos(-4.346403760979467) ^ X1 ))) - X1 )))
17, -0.46790205619122605, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * sig(1.8349524575797123)) * ((0.6148620677248395 - sig(1.8349524575797123)) - X1 )) ^ (0.6148620677248395 - sig((((2.4438382021036817 * 1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) - cos(-4.346403760979467))) ^ abs(((1.8349524575797123 - sig(1.8349524575797123)) - X1 )))))))) - ((0.6148620677248395 - sig(((2.4438382021036817 / cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
18, -12.594677176593686, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * cos(-4.346403760979467)) * sig((2.4438382021036817 * cos(cos(0.6148620677248395))))) ^ abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))))) - ((0.6148620677248395 - sig((abs(((0.6148620677248395 - 0.6148620677248395) - X1 )) ^ 2.4438382021036817))) - X1 )))
19, -1007.3380838107919, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((2.4438382021036817 * 1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) - cos(((0.6148620677248395 - X1 ) - X1 )))) ^ -4.346403760979467))) - ((0.6148620677248395 - sig((cos(-4.346403760979467) ^ X1 ))) - X1 )))
20, -0.48086605625064577, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig((((((0.6148620677248395 - sig(cos(-4.346403760979467))) - X1 ) * cos(-4.346403760979467)) * (2.4438382021036817 - cos(-4.346403760979467))) ^ abs(((0.6148620677248395 - sin(2.4438382021036817)) - sin(sig((((2.4438382021036817 * cos(-4.346403760979467)) * (0.6148620677248395 * sig(0.6148620677248395))) ^ abs(((2.4438382021036817 - sig(1.8349524575797123)) - X1 )))))))))) - ((0.6148620677248395 - sig(((0.6148620677248395 - X1 ) ^ 2.4438382021036817))) - X1 )))
21, -0.44436320883039604, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - ((cos(-4.346403760979467) * abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) - X1 ) ^ 2.4438382021036817))) - X1 )))
22, -0.7672770736960582, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - ((cos(-4.346403760979467) * abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))) * ((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - (2.4438382021036817 * cos(-4.346403760979467))) * cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
23, -0.4578351832727476, -0.43945939106896303, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - ((cos(-4.346403760979467) * abs(((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))) * ((0.6148620677248395 - sig(1.8349524575797123)) - X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - (2.4438382021036817 * cos(-4.346403760979467))) * cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
24, -1.7522933869986266E7, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) - X1 ) ^ 2.4438382021036817))) - X1 )))
25, -1.2108982411243077, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) - X1 ) ^ ((0.6148620677248395 - sig(((0.5558240063628519 * 1.8349524575797123) ^ X1 ))) - X1 )))) - X1 )))
26, -995.0598870669569, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - 1.8349524575797123) - cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 )))
27, -9.708610900821451, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - 1.8349524575797123) - X1 ) ^ 0.6148620677248395))) - X1 )))
28, -999.8219884317895, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) - X1 ) ^ ((0.6148620677248395 - sig(((0.5558240063628519 * 1.8349524575797123) ^ X1 ))) - X1 )))) - X1 )))
29, -0.7723185751185748, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - 1.8349524575797123) - X1 ) ^ 0.6148620677248395))) - X1 )))
30, -1.1048842095138962, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig(1.8349524575797123)) - X1 ) ^ 2.4438382021036817))) - X1 )))
31, -55.32983927387801, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(2.4438382021036817) * ((0.6148620677248395 - sig(((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (((0.6148620677248395 - sig((0.6148620677248395 - ((0.6148620677248395 - sig(2.4438382021036817)) - X1 )))) + X1 ) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((((0.6148620677248395 - 0.6148620677248395) - X1 ) - (2.4438382021036817 * cos(-4.346403760979467))) - cos(-4.346403760979467)) ^ 2.4438382021036817))) - X1 ))))) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig(((0.6148620677248395 - X1 ) ^ 2.4438382021036817))) - X1 )))
32, -2687.5799541357146, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(2.4438382021036817) * ((0.6148620677248395 - sig(1.8349524575797123)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig((((0.6148620677248395 - sig((((2.4438382021036817 * X1 ) - X1 ) ^ (0.6148620677248395 - abs((0.6148620677248395 - X1 )))))) - X1 ) ^ 2.4438382021036817))) - X1 )))
33, -37113.23969575803, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(2.4438382021036817)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig(((0.6148620677248395 - sig((((((0.6148620677248395 - 0.6148620677248395) - X1 ) - (2.4438382021036817 * cos(-4.346403760979467))) - cos(-4.346403760979467)) ^ 2.4438382021036817))) ^ (2.4438382021036817 * cos(-4.346403760979467))))) - X1 )))
34, -2835.073902560962, -0.439367522088803, ((2.4438382021036817 * cos(-4.346403760979467)) ^ ((0.6148620677248395 - sig(((0.6148620677248395 - (sig(1.8349524575797123) * ((0.6148620677248395 - sig(2.4438382021036817)) + X1 ))) ^ 2.4438382021036817))) - ((0.6148620677248395 - sig(((0.6148620677248395 - sig((((((0.6148620677248395 - 0.6148620677248395) - X1 ) - (2.4438382021036817 * cos(-4.346403760979467))) - cos(-4.346403760979467)) ^ 2.4438382021036817))) ^ (2.4438382021036817 * cos(-4.346403760979467))))) - X1 )))
