1608856013713[ 2048, 2048 ]
Genration, Average Fitness, Best Fitness, Best Individual.
0, -4.57044018322783E7, -0.7383533118337112, (cos((X1  - X1 )) ^ -3.836037833568786)
1, -7.010078733942192, -0.7383533118337112, cos(tan(sig(4.56265100234155)))
2, -0.8837894652428584, -0.7382073616149044, (((sin((X1  - X1 )) / ((sig((4.56265100234155 / X2 )) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / (X1  * -0.5891173060679602))))) - cos((sin((tan(sig(4.56265100234155)) / abs(X2 ))) / tan((cos(X1 ) + (X1  + X1 )))))) ^ sin((tan(sig((cos(-1.8037385808133322) ^ (X1  + X1 )))) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965)))))))
3, -0.8987019155899028, -0.7382073616149044, (((sin((X1  - X1 )) / ((cos(tan(sig(4.56265100234155))) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / (X1  * -0.5891173060679602))))) - cos((sin((tan(sig(4.56265100234155)) / abs(X2 ))) / tan((cos(X1 ) + (X1  + X1 )))))) ^ sin((tan(sig((cos(4.56265100234155) ^ (X1  + X1 )))) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965)))))))
4, -0.7759539755925744, -0.7381920997301055, (((sin((X1  - X1 )) / ((sig((4.56265100234155 / X2 )) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / (X1  * -0.5891173060679602))))) - cos((sin((X1  * -0.5891173060679602)) / tan((tan(sig(4.56265100234155)) + (X1  + X1 )))))) ^ sin((tan(sig((cos(-1.8037385808133322) ^ (X1  + X1 )))) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(X2 )))))))
5, -0.738488450042611, -0.7381393623500427, (((sin((X1  - X1 )) / ((sig((X1  / X2 )) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / (X1  * -0.5891173060679602))))) - cos(-2.771656756385965)) ^ sin((tan(tan(sig((cos(-1.8037385808133322) ^ (X1  + X1 ))))) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965)))))))
6, -0.7673620548290023, -0.7381393623500427, (((sin((X1  - X1 )) / ((sig((X1  / X2 )) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / (X1  * -0.5891173060679602))))) - cos(-2.771656756385965)) ^ sin((tan(sig((cos(-1.8037385808133322) ^ (-1.6749431306372333 + sig(4.56265100234155))))) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965)))))))
7, -0.7524960614270697, -0.7380162415231035, (((sin((X1  - X1 )) / ((sig((X1  / X2 )) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / -1.8037385808133322)))) - cos(-2.771656756385965)) ^ sin((tan(sig((cos(-1.8037385808133322) ^ (X1  + X2 )))) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965)))))))
8, -1.294119657900757, -0.7380162415231035, (((sin((X1  - X1 )) / ((sig((X1  / cos(-2.771656756385965))) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / -1.8037385808133322)))) - cos(-2.771656756385965)) ^ sin((tan(sig((cos(-1.8037385808133322) ^ (X1  + X2 )))) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965)))))))
9, -0.7433432432847621, -0.7379797495717563, (((sin((X1  - X1 )) / (((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965))) / tan(sin(X2 ))) ^ (sin(sin(X2 )) / (sig(X2 ) / -1.8037385808133322)))) - cos(-2.771656756385965)) ^ sin(((X1  - X1 ) * sig((tan(cos(X2 )) - ((4.319285064453975 - X1 ) * sin(-2.771656756385965)))))))
