1608573351940[ 128, 128 ]
Genration, Average Fitness, Best Fitness, Best Individual.
0, -4.4054219026041605E7, -0.4900035033223147, abs((X1  ^ 0.5631058624829635))
1, -1.4406097464282785, -0.4900035033223147, abs((X1  ^ 0.5631058624829635))
2, -14.454026082388555, -0.4267283081437861, (X1  ^ tan(1.1370765735279988))
3, -3.065321474991788E7, -0.4267283081437861, (X1  ^ tan(1.1370765735279988))
4, -19.90743185233742, -0.4267283081437861, (X1  ^ tan(1.1370765735279988))
5, -1.3327340488308135, -0.4267283081437861, (X1  ^ tan(1.1370765735279988))
6, -5369615.659759001, -0.4267283081437861, (X1  ^ tan(1.1370765735279988))
7, -5369500.611138611, -0.4219712643691751, (abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig(0.6579922755047587))))))) ^ tan(1.1370765735279988))
8, -4.128901425816212E7, -0.42181807758568596, (abs((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(cos(tan(sig(0.6579922755047587))))))) ^ tan(1.1370765735279988))
9, -5369786.1282986235, -0.42181807758568596, (abs((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(cos(tan(sig(0.6579922755047587))))))) ^ tan(1.1370765735279988))
10, -619.9072772602115, -0.4218180775856859, (abs((X1  ^ ((X1  ^ (abs((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(cos(tan(sig(-0.2838733187118869))))))) ^ tan(1.1370765735279988))) ^ tan(abs(tan(sig((X1  ^ (X1  ^ tan(cos(tan(sig(0.6579922755047587))))))))))))) ^ tan(1.1370765735279988))
11, -616.8599136561272, -0.4218180775856858, (abs((X1  ^ (((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(cos(cos(tan(sig(0.6579922755047587))))))) ^ tan(sin(tan(tan(abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))) ^ tan(abs(tan(sig((X1  ^ (1.1370765735279988 ^ tan(cos(tan(sig(0.6579922755047587))))))))))))) ^ tan(1.1370765735279988))
12, -325.16002800552707, -0.4218180775856857, (abs((X1  ^ (((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(abs(tan(sig(0.6579922755047587)))))))) ^ tan(sin(tan(tan(abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))) ^ tan(abs(tan(sig((X1  ^ (1.1370765735279988 ^ tan(cos(tan(sig(0.6579922755047587))))))))))))) ^ tan(1.1370765735279988))
13, -5369467.290768717, -0.419661255678675, (abs((X1  ^ ((X1  ^ (abs((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(cos(tan(sig(-0.2838733187118869))))))) ^ tan(1.1370765735279988))) ^ tan(abs(tan(sig((X1  ^ (X1  ^ tan(cos(cos(abs((X1  ^ (((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(((X1  ^ tan(sin(tan(cos(tan(X1 )))))) ^ tan(abs(tan(sig(X1 )))))))) ^ tan(sin(tan(tan(abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))) ^ tan(abs(tan(sig((X1  ^ (tan(1.1370765735279988) ^ tan(cos(tan(sig(0.6579922755047587))))))))))))))))))))))))) ^ tan(1.1370765735279988))
14, -0.44531463263425236, -0.4189404397789874, (abs((X1  ^ ((X1  ^ (abs((X1  ^ ((X1  ^ tan(tan(cos(cos(abs((X1  ^ (((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(((X1  ^ tan(sin(tan(cos(tan(X1 )))))) ^ tan(abs(tan(sig(X1 )))))))) ^ tan(sin(tan(tan(abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))) ^ tan(abs(tan(sig((X1  ^ (1.1370765735279988 ^ tan(cos(tan(sig(0.6579922755047587)))))))))))))))))) ^ tan(cos(tan(((X1  ^ tan(sin(tan(X1 )))) ^ tan(((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(abs(tan(sig(0.6579922755047587))))))))))))) ^ tan(1.1370765735279988))) ^ tan(abs(tan(sig((X1  ^ (X1  ^ tan(cos(cos(tan(sig(0.6579922755047587)))))))))))))) ^ tan(1.1370765735279988))
15, -2083099.4969370728, -0.41878614435887784, (abs((X1  ^ ((X1  ^ (abs((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(cos(tan(sig(sin(tan(tan(abs((X1  ^ ((X1  ^ 0.6579922755047587) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635)))))))))))))))))) ^ tan(1.1370765735279988))) ^ tan(abs(tan(sig((X1  ^ (X1  ^ tan(cos(cos(abs((X1  ^ (((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(((X1  ^ tan(0.5631058624829635)) ^ tan(abs(tan(sig(X1 )))))))) ^ tan(sin(tan(tan(abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))) ^ tan(abs(tan(sig((X1  ^ (tan(1.1370765735279988) ^ tan(cos(tan(sig(0.6579922755047587))))))))))))))))))))))))) ^ tan(1.1370765735279988))
16, -0.6388078871108533, -0.4187861443588777, (abs((X1  ^ ((X1  ^ (abs(1.1370765735279988) ^ tan(1.1370765735279988))) ^ tan(abs(tan(sig((X1  ^ (X1  ^ tan(cos(cos(abs((X1  ^ (((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(((X1  ^ tan(0.5631058624829635)) ^ tan(abs(tan(sig(X1 )))))))) ^ tan(sin(tan(tan(abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))) ^ tan(abs(tan(sig((X1  ^ (tan(1.1370765735279988) ^ tan(cos(tan(sig(0.6579922755047587))))))))))))))))))))))))) ^ tan(1.1370765735279988))
17, -0.44806455935592027, -0.4180824199711745, (abs((X1  ^ ((X1  ^ (abs(1.1370765735279988) ^ tan(1.1370765735279988))) ^ tan(abs(tan(sig((X1  ^ (X1  ^ tan(cos(cos(abs((X1  ^ (((X1  ^ ((X1  ^ tan(sin(tan(X1 )))) ^ tan(((X1  ^ tan(0.5631058624829635)) ^ tan(abs(tan(sig(X1 )))))))) ^ tan(sin(tan(tan(abs((X1  ^ ((((X1  ^ ((X1  ^ tan(sin(tan(abs((X1  ^ ((X1  ^ tan(sin(tan(tan(1.1370765735279988))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635)))))))))))) ^ tan(((X1  ^ tan(sin(tan(cos(tan(X1 )))))) ^ tan(tan(sig(-0.2838733187118869))))))) ^ tan(sin(tan(tan(X1 ))))) ^ tan(sin(tan(tan(tan(tan(abs((X1  ^ (0.6579922755047587 ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))))) ^ tan(cos(tan(sig((X1  ^ 0.5631058624829635))))))))))))) ^ tan(abs(tan(sig((X1  ^ (tan(1.1370765735279988) ^ tan(cos(tan(sig(0.6579922755047587))))))))))))))))))))))))) ^ tan(1.1370765735279988))
