1608580997886[ 256, 256 ]
Genration, Average Fitness, Best Fitness, Best Individual.
0, -63.794010349680526, -0.7391682204357884, sig(2.1218325591151777)
1, -1.4149248697298251, -0.655268287700268, (((sig(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (X1  ^ X1 ))) / abs((cos(-4.964908211217873) + (0.7983928462271974 ^ X2 ))))))) ^ cos(((((abs((-4.056919912019252 ^ -0.37000713967630894)) - cos(tan(X2 ))) - X1 ) - (tan(((-3.6469173123025356 * X1 ) / (-3.0240125200895616 - 0.3060860380839978))) / tan((cos(X2 ) * abs(X2 ))))) / (tan(sin((tan(X1 ) - abs(0.13816230188071454)))) * cos((abs(sin(-3.6469173123025356)) ^ (sin(X2 ) + abs(X2 )))))))) + sig((abs(tan(0.13816230188071454)) ^ tan(cos(((((X1  * 2.886005644703264) * (-3.6469173123025356 / -3.6469173123025356)) / sin((X2  - X2 ))) * sig(sig(cos(4.204086657899028))))))))) / (tan(sin(cos(tan(sig((sig((-3.6405687723476676 - X1 )) ^ 2.6872800269907096)))))) / cos(tan(sin(sin(sin((sig(tan(4.151103795927808)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365))))))))))
2, -0.6934670639548699, -0.655259638144299, (((sig(tan((sig((sin((-4.234215352667401 / 3.1505258185290828)) - abs(tan(X2 )))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (X1  ^ X1 ))) / abs((cos(-4.964908211217873) + (0.7983928462271974 ^ X2 ))))))) ^ cos(((((abs((-4.056919912019252 ^ -0.37000713967630894)) - cos(tan(X2 ))) - X1 ) - (tan(cos(((((abs((-4.056919912019252 ^ -0.37000713967630894)) - cos(tan(X2 ))) - X1 ) - (tan(((-3.6469173123025356 * X1 ) / (-3.0240125200895616 - 0.3060860380839978))) / tan((cos(X2 ) * abs(X2 ))))) / (tan(sin((tan(X1 ) - abs(0.13816230188071454)))) * cos((abs(sin(-3.6469173123025356)) ^ (sin(X2 ) + abs(X2 )))))))) / tan((cos(X2 ) * abs(X2 ))))) / (tan(sin((tan(X1 ) - abs(0.13816230188071454)))) * cos((abs(sin(-3.6469173123025356)) ^ (sin(X2 ) + abs(X2 )))))))) + sig((abs(tan(0.13816230188071454)) ^ tan(cos(((((X1  * 2.886005644703264) * (-3.6469173123025356 / -3.6469173123025356)) / sin((X2  - X2 ))) * sig(sig(cos(4.204086657899028))))))))) / (tan(sin(cos(tan(sig((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(sin(sin(sin((sig(tan(4.151103795927808)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365))))))))))
3, -3.8121635241386578, -0.46038969540617125, (((sin(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (3.8581631849093885 ^ -3.9604589623925603))) / abs((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 ))))))) ^ cos(((sig(cos(4.204086657899028)) / (tan(((-3.6469173123025356 * tan(sin(sin(sin((((X1  / -1.674190796019197) / sig(4.217445860348365)) ^ ((X1  / -1.674190796019197) / sig(4.217445860348365)))))))) / (-3.0240125200895616 - 0.3060860380839978))) / tan((sin(X2 ) * sin((X2  - X2 )))))) / (tan(sin((tan(X1 ) - abs(0.13816230188071454)))) ^ cos((abs(sin(-3.6469173123025356)) ^ (sin(X2 ) + abs(X2 )))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(cos(sin(sin((sig(tan(1.7623841623271783)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365))))))))))
4, -6.325364360641077, -0.4537234999348064, (((sin(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (3.8581631849093885 ^ -3.9604589623925603))) / abs((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 ))))))) ^ cos(((sig(cos(4.204086657899028)) / (tan(((-3.6469173123025356 * tan(sin(sin(sin((((X1  / -1.674190796019197) / sig(4.217445860348365)) ^ ((-4.056919912019252 ^ -0.37000713967630894) / sig(4.217445860348365)))))))) / (-3.0240125200895616 - 0.3060860380839978))) / tan((sin(X2 ) * sin((X2  - X2 )))))) / (tan(sin((tan(X1 ) - abs(0.13816230188071454)))) ^ cos((abs(sin(-3.6469173123025356)) ^ (sin(X2 ) + abs(X2 )))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(sin(sin(sin((((X1  / -1.674190796019197) / sig(4.217445860348365)) ^ ((X1  / -1.674190796019197) / sig(4.217445860348365)))))))))
5, -0.5076575860474848, -0.3814785520942422, (((sin(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (3.8581631849093885 ^ -3.9604589623925603))) / abs((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 ))))))) ^ cos(((sig(cos(4.204086657899028)) / (tan(((-3.6469173123025356 * tan(sin(sin(sin((((X1  / -1.674190796019197) / sig(4.217445860348365)) ^ ((X1  / -1.674190796019197) / sig(4.217445860348365)))))))) / (-3.0240125200895616 - 0.3060860380839978))) / tan((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 ))))) / (-3.6469173123025356 ^ cos((abs(sin(-3.6469173123025356)) ^ (sin(X2 ) + abs(X2 )))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(sin(sin(sin((((X1  / -1.674190796019197) / sig(4.217445860348365)) ^ cos(-4.964908211217873))))))))
6, -2.4586960698906553, -0.3177854863869259, (((sin(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (3.8581631849093885 ^ -3.9604589623925603))) / abs((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 ))))))) ^ cos(((sig(cos(4.204086657899028)) / (tan(((-3.6469173123025356 * tan((sig((-3.6405687723476676 - X1 )) ^ (sin((((abs((-4.056919912019252 ^ -0.37000713967630894)) - cos(tan(X2 ))) / sig(4.217445860348365)) ^ ((X1  / -1.674190796019197) / sig(4.217445860348365)))) + sin(-1.9307309185204211))))) / (-3.0240125200895616 - 0.3060860380839978))) / tan((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 ))))) / (-3.6469173123025356 ^ cos((abs(sin(-3.6469173123025356)) ^ (sin(X2 ) + abs(X2 )))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ (sin((((abs((-4.056919912019252 ^ -0.37000713967630894)) - cos(tan(X2 ))) / sig(4.217445860348365)) ^ ((X1  / -1.674190796019197) / sig(4.217445860348365)))) + sin(-1.9307309185204211)))))))) / cos(sin(sin(sin((((X1  / -1.674190796019197) / sig(4.217445860348365)) ^ cos(-4.964908211217873))))))))
7, -0.4187388107465555, -0.30345684571684683, (((sin(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (3.8581631849093885 ^ -3.9604589623925603))) / abs(abs((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 )))))))) ^ cos((((3.8581631849093885 ^ cos(((sig(cos(4.204086657899028)) / (tan(((-3.6469173123025356 * sig(cos(4.204086657899028))) / (-3.0240125200895616 - 0.3060860380839978))) / tan((sin(X2 ) * sin((X2  - X2 )))))) / (sig(sig(cos(4.204086657899028))) ^ cos((abs((-3.6405687723476676 - 3.8581631849093885)) ^ (sin(X2 ) + abs(X2 )))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(cos(sin(sin((sig(tan(1.7623841623271783)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365)))))))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(cos(sin(sin((sig(tan(1.7623841623271783)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365))))))))))
8, -0.8071069004230051, -0.30345684571684683, (((sin(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (3.8581631849093885 ^ -3.9604589623925603))) / abs(abs((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 )))))))) ^ cos((((3.8581631849093885 ^ cos(((sig(cos(4.204086657899028)) / (tan(((-3.6469173123025356 * sig(cos(4.204086657899028))) / (-3.0240125200895616 - 0.3060860380839978))) / tan((sin(X2 ) * sin((X2  - X2 )))))) / (sig(sig(cos(4.204086657899028))) ^ cos((abs((-3.6405687723476676 - 3.8581631849093885)) ^ (sin(X2 ) + abs(X2 )))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(cos(sin(sin((sig(tan(1.7623841623271783)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365)))))))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(cos(sin(sin((sig(tan(1.7623841623271783)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365))))))))))
9, -3.926870619642963, -0.30345684571684683, (((sin(tan((sig(abs(sin(-3.6469173123025356))) * ((((X1  ^ 1.7623841623271783) / (X1  / X1 )) * (cos(0.6211376678222367) / (3.8581631849093885 ^ -3.9604589623925603))) / abs(abs((cos(-4.964908211217873) / (-1.674190796019197 ^ X2 )))))))) ^ cos((((3.8581631849093885 ^ cos(((sig(cos(4.204086657899028)) / (tan(((-3.6469173123025356 * sig(cos(4.204086657899028))) / (-3.0240125200895616 - 0.3060860380839978))) / tan((sin(X2 ) * sin((X2  - X2 )))))) / (sig(-4.056919912019252) ^ cos((abs((-3.6405687723476676 - 3.8581631849093885)) ^ (sin(sin(sin((sig(tan(1.7623841623271783)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365)))))) + abs(X2 )))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(cos(sin(sin((sig(tan(1.7623841623271783)) ^ ((-3.6405687723476676 - X1 ) + sig(4.217445860348365)))))))))))) + sig(0.3060860380839978)) / (tan(sin(cos(tan(tan((sig((-3.6405687723476676 - X1 )) ^ ((4.12516738814945 ^ X1 ) + sin(-1.9307309185204211)))))))) / cos(tan(cos(sin(sin((sig(tan(1.7623841623271783)) ^ ((X1  / -1.674190796019197) + sig(4.217445860348365))))))))))
