1608572301726[ 64, 64 ]
Genration, Average Fitness, Best Fitness, Best Individual.
0, -1.469332079218878E7, -0.741967780384955, (sig((((X1  ^ (X2  + X2 )) + -2.501114513289855) + 4.57516486661763)) ^ sin(-1.7407507086105092))
1, -1.5378495600645758, -0.741967780384955, abs(sig(sin(2.0796825173388997)))
2, -0.8422410790847893, -0.741967780384955, abs(sig(sin(sin((abs(sig(-0.18747996966309444)) ^ sin(abs(sig(sin(sin(X2 ))))))))))
3, -0.8085106925233333, -0.741967780384955, abs(sig(sin(sin(abs(X2 )))))
4, -0.7631633834993029, -0.741967780384955, abs(sig(sin((sig(sig(sin(sin(abs(abs(abs(sin(X2 )))))))) * X2 ))))
5, -0.7637793144662689, -0.741967780384955, abs(sig(sin(((sig(X2 ) + -2.501114513289855) * X2 ))))
6, -0.7562946073962631, -0.741967780384955, (sig(((4.57516486661763 + 0.11560124030336283) + 4.57516486661763)) ^ sin(X2 ))
7, -0.7878293654199992, -0.741967780384955, abs(sig(sin(sin((abs(sig(sin(((sig(sig(sig(sin(sin(abs(abs(sig(-2.501114513289855)))))))) + -2.501114513289855) * X2 )))) ^ sin(abs(sig(abs(sig(sig((X2  / X1 ))))))))))))
8, -0.7777453072341254, -0.741967780384955, (sig((sig(sin(sin(X2 ))) + 4.57516486661763)) ^ abs(sig(-0.18747996966309444)))
9, -0.7864243778092915, -0.741967780384955, abs(sig(sig(sin(((sig(((sig(sig(sig(sin(sin(X2 ))))) + -2.501114513289855) * X2 )) + -2.501114513289855) * X2 )))))
10, -0.7627374794598974, -0.741967780384955, abs(sig(sin(sin((abs((sig(sin(sin(sig(sin(sin(X2 )))))) ^ sin(abs(abs(sig(sin(sin(sin(sin(abs(abs(sig(-2.501114513289855))))))))))))) ^ sin(abs(sig(abs(sig(sin((sig(sig(sig(sin(sin(X2 ))))) + -2.501114513289855))))))))))))
11, -0.7654837343887209, -0.741967780384955, sig(sin(sin((abs(sig(sin(((sig(sig(sig((sig(X2 ) ^ sin(sig(sin(sin((abs(sig(sin((abs(X1 ) * X2 )))) ^ sin(sig(sig(abs((sig(X2 ) ^ sin(-1.7407507086105092))))))))))))))) + -2.501114513289855) * X2 )))) ^ sin(abs(sig(abs(sig(sig(sin(abs(abs(sig(sin(sin((X2  ^ sin(-4.655263535273826))))))))))))))))))
12, -0.7912128490060323, -0.741967780384955, (sig(((4.57516486661763 + sin((abs(sig(sin(((((sig(sig(sig(sin(sin(X2 ))))) + -2.501114513289855) * X2 ) + -2.501114513289855) * sig(abs(sig(sin(X2 )))))))) ^ sin(abs(sig(abs(sig(sin(sin((sin(sin(sin((abs(sig(sin(((sig(sin(sin(X2 ))) + -2.501114513289855) * X2 )))) ^ sin(sin((X2  ^ sin(-4.655263535273826)))))))) ^ sin(X2 )))))))))))) + (sig(sin(sin((abs(X1 ) ^ sin(X2 ))))) + 0.11560124030336283))) ^ sin(-1.7407507086105092))
