1608822807100[ 2048, 2048 ]
Genration, Average Fitness, Best Fitness, Best Individual.
0, -8.43740870704597E7, -0.6720278944357926, abs(-2.0224992384719496)
1, -86775.2087319722, -0.6589844863547255, tan(abs(2.266653817438434))
2, -13.253356896967993, -0.5981892557397134, tan(2.279692018272441)
3, -3.1752730597264582, -0.5981892557397134, abs(tan(2.279692018272441))
4, -0.7662233243294029, -0.5981892557397134, abs(tan(2.279692018272441))
5, -0.6502828634322496, -0.5981892557397134, tan(2.279692018272441)
6, -0.669766178509153, -0.5981892557397134, tan(2.279692018272441)
7, -0.6587487696999946, -0.5981892557397134, tan(2.279692018272441)
8, -0.6766219240931953, -0.5981892557397134, tan(2.279692018272441)
9, -0.6590389914040903, -0.5981892557397134, tan(2.279692018272441)
10, -0.66447887901515, -0.5981892557397134, tan(2.279692018272441)
11, -0.6427193285709114, -0.5981892557397134, abs(tan(2.279692018272441))
12, -0.6429985285389459, -0.5981892557397134, tan(2.279692018272441)
13, -0.6712089385369657, -0.5981892557397134, tan(2.279692018272441)
14, -0.6637020275283844, -0.5981892557397134, tan(2.279692018272441)
15, -0.6551122130041542, -0.5981892557397134, abs(tan(2.279692018272441))
16, -0.6401389847493989, -0.5981892557397134, abs(tan(2.279692018272441))
17, -0.682088713759085, -0.5981892557397134, tan(2.279692018272441)
18, -0.6538220410933979, -0.5981892557397134, tan(2.279692018272441)
19, -0.6564586475825779, -0.5981892557397134, tan(2.279692018272441)
20, -0.6590389914040903, -0.5981892557397134, abs(abs(tan(2.279692018272441)))
21, -0.7264357683121699, -0.5981892557397134, abs(abs(tan(2.279692018272441)))
22, -0.6509624973038508, -0.5981892557397134, tan(2.279692018272441)
23, -0.6401389847493988, -0.5981892557397134, abs(abs(tan(2.279692018272441)))
24, -0.6401389847493989, -0.5981892557397134, tan(2.279692018272441)
25, -0.654889275703787, -0.5981892557397134, abs(abs(tan(2.279692018272441)))
26, -0.6170892623944041, -0.5981892557397134, tan(2.279692018272441)
27, -0.626678865705767, -0.5981892557397134, tan(2.279692018272441)
28, -0.6321187533168267, -0.5981892557397134, tan(2.279692018272441)
29, -0.6476615646632402, -0.5981892557397134, tan(2.279692018272441)
30, -0.6385696128706079, -0.5981892557397134, abs(abs(tan(2.279692018272441)))
31, -0.6225291500054636, -0.5981892557397134, abs(abs(abs(abs(abs(tan(2.279692018272441))))))
32, -0.6279690376165233, -0.5981892557397134, tan(2.279692018272441)
33, -0.662023954087473, -0.5981892557397134, abs(tan(2.279692018272441))
34, -0.6771621465720163, -0.5981892557397134, abs(abs(tan(2.279692018272441)))
35, -0.633408925227583, -0.5981892557397134, abs(abs(abs(abs(tan(2.279692018272441)))))
36, -0.7272156284311433, -0.5981892557397134, tan(2.279692018272441)
37, -0.626678865705767, -0.5981892557397134, abs(abs(abs(tan(2.279692018272441))))
38, -0.633408925227583, -0.5981892557397134, abs(abs(abs(abs(abs(tan(2.279692018272441))))))
39, -0.6618985351936374, -0.5981892557397134, abs(abs(abs(tan(2.279692018272441))))
40, -0.6401389847493988, -0.5981892557397134, abs(abs(abs(abs(abs(abs(abs(tan(2.279692018272441))))))))
41, -0.6442887004497022, -0.5981892557397134, abs(abs(abs(tan(2.279692018272441))))
42, -0.6238193219162199, -0.5981892557397134, abs(abs(abs(abs(abs(abs(abs(abs(abs(abs(abs(abs(tan(2.279692018272441)))))))))))))
43, -0.6489021600293351, -0.5981892557397134, abs(abs(abs(abs(abs(abs(abs(tan(2.279692018272441))))))))
44, -0.6359892690490954, -0.5981892557397134, abs(abs(abs(tan(2.279692018272441))))
45, -0.6298832760332443, -0.5981892557397134, abs(abs(abs(abs(abs(abs(tan(2.279692018272441)))))))
46, -0.619892543516284, -0.5981892557397134, abs(abs(abs(abs(tan(2.279692018272441)))))
47, -0.6191719546971858, -0.5981892557397134, tan(2.279692018272441)
48, -0.6292592095272795, -0.5981892557397134, abs(abs(abs(abs(abs(abs(abs(abs(abs(abs(tan(2.279692018272441)))))))))))
49, -0.609069030961832, -0.5981892557397134, abs(abs(abs(abs(abs(abs(abs(abs(tan(2.279692018272441)))))))))
Time taken: 1500.162904924 s
